candidate,loss,abs. diff. net power IO
[0 1 1 2],5078081.584398136,462.8
[0 1 1 3],5801382.720891045,529.8000000000002
[0 1 2 0],298460.5752545814,28.80000000000008
[0 1 2 1],1021609.8737936127,95.80000000000008
[0 1 2 2],1744764.4599741674,162.80000000000007
[0 1 2 3],2467958.4733868768,229.80000000000018
[0 1 3 0],3035697.9777608723,271.2
[0 1 3 1],2312396.841267965,204.2
[0 1 3 2],1589095.704775057,137.2
[0 1 3 3],865933.375746625,70.19999999999986
[0 2 0 0],6975725.773742152,629.8000000000001
[0 2 0 1],7699026.91023506,696.8000000000001
[0 2 0 2],8422328.046727968,763.8000000000001
[0 2 0 3],9145629.183220876,830.8000000000002
[0 2 1 0],3642137.1291555553,329.8
[0 2 1 1],4365438.265648463,396.8
[0 2 1 2],5088739.40214137,463.8
[0 0 0 0],6954410.138255684,627.8000000000001
[0 0 0 1],7677711.274748592,694.8000000000001
[0 0 0 2],8401012.4112415,761.8000000000001
[0 0 0 3],9124313.547734408,828.8000000000002
[0 0 1 0],3620821.4936690866,327.8
[0 0 1 1],4344122.630161994,394.8
[0 0 1 2],5067423.766654901,461.8
[0 0 1 3],5790724.903147811,528.8000000000002
[0 0 2 0],287804.82142808236,27.80000000000008
[0 0 2 1],1010953.922982448,94.80000000000008
[0 0 2 2],1734108.5091630027,161.80000000000007
[0 0 2 3],2457301.515553727,228.80000000000018
[0 0 3 0],3046355.7955041067,272.2
[0 0 3 1],2323054.659011199,205.2
[0 0 3 2],1599753.5225182914,138.2
[0 0 3 3],876586.3430885156,71.19999999999986
[0 1 0 0],6965067.955998918,628.8000000000001
[0 1 0 1],7688369.092491826,695.8000000000001
[0 1 0 2],8411670.228984734,762.8000000000001
[0 1 0 3],9134971.365477642,829.8000000000002
[0 1 1 0],3631479.311412321,328.8
[0 1 1 1],4354780.4479052285,395.8
[0 1 1 2],5078081.584398136,462.8
[0 1 1 3],5801382.720891045,529.8000000000002
[0 1 2 0],298460.5752545814,28.80000000000008
[0 1 2 1],1021609.8737936127,95.80000000000008
[0 1 2 2],1744764.4599741674,162.80000000000007
[0 1 2 3],2467958.4733868768,229.80000000000018
[0 1 3 0],3035697.9777608723,271.2
[0 1 3 1],2312396.841267965,204.2
[0 1 3 2],1589095.704775057,137.2
[0 1 3 3],865933.375746625,70.19999999999986
[0 2 0 0],6975725.773742152,629.8000000000001
[0 2 0 1],7699026.91023506,696.8000000000001
[0 2 0 2],8422328.046727968,763.8000000000001
[0 2 0 3],9145629.183220876,830.8000000000002
[0 2 1 0],3642137.1291555553,329.8
[0 2 1 1],4365438.265648463,396.8
[0 2 1 2],5088739.40214137,463.8
[0 2 1 3],5812040.53863428,530.8000000000002
[0 2 2 0],309116.32908108045,29.80000000000008
[0 2 2 1],1032265.8246047773,96.80000000000008
[0 2 2 2],1755420.410785332,163.80000000000007
[0 2 2 3],2478615.4312200267,230.80000000000018
[0 2 3 0],3025040.160017638,270.2
[0 2 3 1],2301739.0235247305,203.2
[0 2 3 2],1578437.8870318227,136.2
[0 2 3 3],855280.4084047346,69.19999999999986
[0 3 0 0],6986383.591485387,630.8000000000001
[0 3 0 1],7709684.727978295,697.8000000000001
[0 3 0 2],8432985.864471203,764.8000000000001
[0 3 0 3],9156287.00096411,831.8000000000002
[0 0 0 0],6954410.138255684,627.8000000000001
[0 0 0 1],7677711.274748592,694.8000000000001
[0 0 0 2],8401012.4112415,761.8000000000001
[0 0 0 3],9124313.547734408,828.8000000000002
[0 0 1 0],3620821.4936690866,327.8
[0 0 1 1],4344122.630161994,394.8
[0 0 1 2],5067423.766654901,461.8
[0 0 1 3],5790724.903147811,528.8000000000002
[0 0 2 0],287804.82142808236,27.80000000000008
[0 0 2 1],1010953.922982448,94.80000000000008
[0 0 2 2],1734108.5091630027,161.80000000000007
[0 0 2 3],2457301.515553727,228.80000000000018
[0 0 3 0],3046355.7955041067,272.2
[0 0 3 1],2323054.659011199,205.2
[0 0 3 2],1599753.5225182914,138.2
[0 0 3 3],876586.3430885156,71.19999999999986
[0 1 0 0],6965067.955998918,628.8000000000001
[0 1 0 1],7688369.092491826,695.8000000000001
[0 1 0 2],8411670.228984734,762.8000000000001
[0 1 0 3],9134971.365477642,829.8000000000002
[0 1 1 0],3631479.311412321,328.8
[0 1 1 1],4354780.4479052285,395.8
[0 1 1 2],5078081.584398136,462.8
[0 1 1 3],5801382.720891045,529.8000000000002
[0 1 2 0],298460.5752545814,28.80000000000008
[0 1 2 1],1021609.8737936127,95.80000000000008
[0 1 2 2],1744764.4599741674,162.80000000000007
[0 1 2 3],2467958.4733868768,229.80000000000018
[0 1 3 0],3035697.9777608723,271.2
[0 1 3 1],2312396.841267965,204.2
[0 1 3 2],1589095.704775057,137.2
[0 1 3 3],865933.375746625,70.19999999999986
[0 2 0 0],6975725.773742152,629.8000000000001
[0 2 0 1],7699026.91023506,696.8000000000001
[0 2 0 2],8422328.046727968,763.8000000000001
[0 2 0 3],9145629.183220876,830.8000000000002
[0 2 1 0],3642137.1291555553,329.8
[0 2 1 1],4365438.265648463,396.8
[0 2 1 2],5088739.40214137,463.8
[0 2 1 3],5812040.53863428,530.8000000000002
[0 2 2 0],309116.32908108045,29.80000000000008
[0 2 2 1],1032265.8246047773,96.80000000000008
[0 2 2 2],1755420.410785332,163.80000000000007
[0 2 2 3],2478615.4312200267,230.80000000000018
[0 2 3 0],3025040.160017638,270.2
[0 2 3 1],2301739.0235247305,203.2
[0 2 3 2],1578437.8870318227,136.2
[0 2 3 3],855280.4084047346,69.19999999999986
[0 3 0 0],6986383.591485387,630.8000000000001
[0 3 0 1],7709684.727978295,697.8000000000001
[0 3 0 2],8432985.864471203,764.8000000000001
[0 3 0 3],9156287.00096411,831.8000000000002
[0 3 1 0],3652794.9468987896,330.8
[0 3 1 1],4376096.083391697,397.8
[0 3 1 2],5099397.219884604,464.8
[0 3 1 3],5822698.356377514,531.8000000000002
[0 3 2 0],319772.08290757955,30.80000000000008
[0 3 2 1],1042921.775415942,97.80000000000008
[0 3 2 2],1766076.3615964968,164.80000000000007
[0 3 2 3],2489272.3890531766,231.80000000000018
[0 3 3 0],3014382.3422744037,269.2
[0 3 3 1],2291081.205781496,202.2
[0 3 3 2],1567780.0692885884,135.2
[0 3 3 3],844627.441062844,68.19999999999986
[1 0 0 0],6215410.138255684,553.9000000000001
[0 0 0 0],6954410.138255684,627.8000000000001
[0 0 0 1],7677711.274748592,694.8000000000001
[0 0 0 2],8401012.4112415,761.8000000000001
[0 0 0 3],9124313.547734408,828.8000000000002
[0 0 1 0],3620821.4936690866,327.8
[0 0 1 1],4344122.630161994,394.8
[0 0 1 2],5067423.766654901,461.8
[0 0 1 3],5790724.903147811,528.8000000000002
[0 0 2 0],287804.82142808236,27.80000000000008
[0 0 2 1],1010953.922982448,94.80000000000008
[0 0 2 2],1734108.5091630027,161.80000000000007
[0 0 2 3],2457301.515553727,228.80000000000018
[0 0 3 0],3046355.7955041067,272.2
[0 0 3 1],2323054.659011199,205.2
[0 0 3 2],1599753.5225182914,138.2
[0 0 3 3],876586.3430885156,71.19999999999986
[0 1 0 0],6965067.955998918,628.8000000000001
[0 1 0 1],7688369.092491826,695.8000000000001
[0 1 0 2],8411670.228984734,762.8000000000001
[0 1 0 3],9134971.365477642,829.8000000000002
[0 1 1 0],3631479.311412321,328.8
[0 1 1 1],4354780.4479052285,395.8
[0 1 1 2],5078081.584398136,462.8
[0 1 1 3],5801382.720891045,529.8000000000002
[0 1 2 0],298460.5752545814,28.80000000000008
[0 1 2 1],1021609.8737936127,95.80000000000008
[0 1 2 2],1744764.4599741674,162.80000000000007
[0 1 2 3],2467958.4733868768,229.80000000000018
[0 1 3 0],3035697.9777608723,271.2
[0 1 3 1],2312396.841267965,204.2
[0 1 3 2],1589095.704775057,137.2
[0 1 3 3],865933.375746625,70.19999999999986
[0 2 0 0],6975725.773742152,629.8000000000001
[0 2 0 1],7699026.91023506,696.8000000000001
[0 2 0 2],8422328.046727968,763.8000000000001
[0 2 0 3],9145629.183220876,830.8000000000002
[0 2 1 0],3642137.1291555553,329.8
[0 2 1 1],4365438.265648463,396.8
[0 2 1 2],5088739.40214137,463.8
[0 2 1 3],5812040.53863428,530.8000000000002
[0 2 2 0],309116.32908108045,29.80000000000008
[0 2 2 1],1032265.8246047773,96.80000000000008
[0 2 2 2],1755420.410785332,163.80000000000007
[0 2 2 3],2478615.4312200267,230.80000000000018
[0 2 3 0],3025040.160017638,270.2
[0 2 3 1],2301739.0235247305,203.2
[0 2 3 2],1578437.8870318227,136.2
[0 2 3 3],855280.4084047346,69.19999999999986
[0 3 0 0],6986383.591485387,630.8000000000001
[0 3 0 1],7709684.727978295,697.8000000000001
[0 3 0 2],8432985.864471203,764.8000000000001
[0 3 0 3],9156287.00096411,831.8000000000002
[0 3 1 0],3652794.9468987896,330.8
[0 3 1 1],4376096.083391697,397.8
[0 3 1 2],5099397.219884604,464.8
[0 3 1 3],5822698.356377514,531.8000000000002
[0 3 2 0],319772.08290757955,30.80000000000008
[0 3 2 1],1042921.775415942,97.80000000000008
[0 3 2 2],1766076.3615964968,164.80000000000007
[0 3 2 3],2489272.3890531766,231.80000000000018
[0 3 3 0],3014382.3422744037,269.2
[0 3 3 1],2291081.205781496,202.2
[0 3 3 2],1567780.0692885884,135.2
[0 3 3 3],844627.441062844,68.19999999999986
[1 0 0 0],6215410.138255684,553.9000000000001
[1 0 0 1],6938711.274748592,620.9000000000001
[1 0 0 2],7662012.411241499,687.9000000000001
[1 0 0 3],8385313.547734407,754.9000000000001
[1 0 1 0],2881821.493669086,253.89999999999995
[1 0 1 1],3605122.630161993,320.8999999999999
[1 0 1 2],4328423.7666549,387.8999999999999
[1 0 1 3],5051724.903147809,454.90000000000003
[1 0 2 0],470804.8214280811,46.09999999999995
[1 0 2 1],271953.9229824476,20.900000000000045
[1 0 2 2],995108.5091630026,87.90000000000005
[1 0 2 3],1718301.5155537259,154.9000000000001
[1 0 3 0],3785355.7955041067,346.1
[1 0 3 1],3062054.659011199,279.1
[0 0 0 0],6954410.138255684,627.8000000000001
[0 0 0 1],7677711.274748592,694.8000000000001
[0 0 0 2],8401012.4112415,761.8000000000001
[0 0 0 3],9124313.547734408,828.8000000000002
[0 0 1 0],3620821.4936690866,327.8
[0 0 1 1],4344122.630161994,394.8
[0 0 1 2],5067423.766654901,461.8
[0 0 1 3],5790724.903147811,528.8000000000002
[0 0 2 0],287804.82142808236,27.80000000000008
[0 0 2 1],1010953.922982448,94.80000000000008
[0 0 2 2],1734108.5091630027,161.80000000000007
[0 0 2 3],2457301.515553727,228.80000000000018
[0 0 3 0],3046355.7955041067,272.2
[0 0 3 1],2323054.659011199,205.2
[0 0 3 2],1599753.5225182914,138.2
[0 0 3 3],876586.3430885156,71.19999999999986
[0 1 0 0],6965067.955998918,628.8000000000001
[0 1 0 1],7688369.092491826,695.8000000000001
[0 1 0 2],8411670.228984734,762.8000000000001
[0 1 0 3],9134971.365477642,829.8000000000002
[0 1 1 0],3631479.311412321,328.8
[0 1 1 1],4354780.4479052285,395.8
[0 1 1 2],5078081.584398136,462.8
[0 1 1 3],5801382.720891045,529.8000000000002
[0 1 2 0],298460.5752545814,28.80000000000008
[0 1 2 1],1021609.8737936127,95.80000000000008
[0 1 2 2],1744764.4599741674,162.80000000000007
[0 1 2 3],2467958.4733868768,229.80000000000018
[0 1 3 0],3035697.9777608723,271.2
[0 1 3 1],2312396.841267965,204.2
[0 1 3 2],1589095.704775057,137.2
[0 1 3 3],865933.375746625,70.19999999999986
[0 2 0 0],6975725.773742152,629.8000000000001
[0 2 0 1],7699026.91023506,696.8000000000001
[0 2 0 2],8422328.046727968,763.8000000000001
[0 2 0 3],9145629.183220876,830.8000000000002
[0 2 1 0],3642137.1291555553,329.8
